Event,Rank,Lane,Athlete,Nation,Time
2008 Olympics 200m freestyle,1,6,Michael Phelps,United States,1:42.96
2008 Olympics 200m freestyle,2,5,Park Tae-Hwan,South Korea,1:44.85
2008 Olympics 200m freestyle,3,4,Peter Vanderkaay,United States,1:45.14
2008 Olympics 200m freestyle,4,3,Jean Basson,South Africa,1:45.97
2008 Olympics 200m freestyle,5,2,Paul Biedermann,Germany,1:46.00
2008 Olympics 200m freestyle,6,1,Dominik Meichtry,Switzerland,1:46.95
2008 Olympics 200m freestyle,7,7,Yoshihiro Okumura,Japan,1:47.14
2008 Olympics 200m freestyle,8,8,Robbie Renwick,Great Britain,1:47.47
2008 Olympics 100m butterfly,1,5,Michael Phelps,United States,0:50.58
2008 Olympics 100m butterfly,2,4,Milorad Čavić,Serbia,0:50.59
2008 Olympics 100m butterfly,3,3,Andrew Lauterstein,Australia,0:51.12
2008 Olympics 100m butterfly,4,6,Ian Crocker,United States,0:51.13
2008 Olympics 100m butterfly,5,2,Jason Dunford,Kenya,0:51.47
2008 Olympics 100m butterfly,6,1,Takuro Fujii,Japan,0:51.5
2008 Olympics 100m butterfly,7,7,Andriy Serdinov,Ukraine,0:51.59
2008 Olympics 100m butterfly,8,8,Ryan Pini,Papua New Guinea,0:51.86
2008 Olympics 200m butterfly,1,4,Michael Phelps,United States,1:52.03
2008 Olympics 200m butterfly,2,6,László Cseh,Hungary,1:52.70
2008 Olympics 200m butterfly,3,5,Takeshi Matsuda,Japan,1:52.97
2008 Olympics 200m butterfly,4,1,Moss Burmester,New Zealand,1:54.35
2008 Olympics 200m butterfly,4,2,Wu Peng,China,1:54.35
2008 Olympics 200m butterfly,6,8,Paweł Korzeniowski,Poland,1:54.60
2008 Olympics 200m butterfly,7,7,Kaio de Almeida,Brazil,1:54.71
2008 Olympics 200m butterfly,8,3,Nikolay Skvortsov,Russia,1:55.14
2008 Olympics 200m medley,1,5,Michael Phelps,United States,1:54.23
2008 Olympics 200m medley,2,6,László Cseh,Hungary,1:56.52
2008 Olympics 200m medley,3,4,Ryan Lochte,United States,1:56.53
2008 Olympics 200m medley,4,3,Thiago Pereira,Brazil,1:58.14
2008 Olympics 200m medley,5,2,Ken Takakuwa,Japan,1:58.22
2008 Olympics 200m medley,6,7,James Goddard,Great Britain,1:59.24
2008 Olympics 200m medley,7,8,Keith Beavers,Canada,1:59.43
2008 Olympics 200m medley,8,1,Liam Tancock,Great Britain,2:00.76
2008 Olympics 400m medley,1,4,Michael Phelps,United States,4:03.84
2008 Olympics 400m medley,2,5,László Cseh,Hungary,4:06.16
2008 Olympics 400m medley,3,6,Ryan Lochte,United States,4:08.09
2008 Olympics 400m medley,4,7,Alessio Boggiatto,Italy,4:12.16
2008 Olympics 400m medley,5,3,Luca Marin,Italy,4:12.47
2008 Olympics 400m medley,6,2,Gergő Kis,Hungary,4:12.84
2008 Olympics 400m medley,7,1,Brian Johns,Canada,4:13.38
2008 Olympics 400m medley,8,8,Thiago Pereira,Brazil,4:15.40